"hash","market","itemlink","vendor","price","product","description","image_link","timestamp","ship_from"
"9-370bfb31abd222b582245b977ea5f25a","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2765","BruceWillix","130.00000000","5g MEPHEDRONE 4 MMC microcrystal with little rocks FAMOUS and RARE Top Quality","MEPHEDRONE 4 MMC Top Quality Microcrystal with little rocks Purity 99 8 Famous and very rare product Limited Quantity Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2765","1399167706","Hungary",
"9-f75526659f31040afeb61cb7133e4e6d","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2767","BruceWillix","12.00000000","1g SPEED NORMAL DRY a little bit wet","SPEED NORMAL DRY Amphetamine Very good SPEED for very good price Not too wet it dries very fast The loss due drying is about max 10 15 only Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2767","1399167707","Hungary",
"9-f499d34bd87b42948b3960b8f6b82e74","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2768","BruceWillix","50.00000000","5g SPEED NORMAL DRY a little bit wet","SPEED NORMAL DRY Amphetamine Very good SPEED for very good price Not too wet it dries very fast The loss due drying is about max 10 15 only Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2768","1399167707","Hungary",
"9-44ac09ac6a149136a4102ee4b4103ae6","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2769","BruceWillix","90.00000000","10g SPEED NORMAL DRY a little bit wet","SPEED NORMAL DRY Amphetamine Very good SPEED for very good price Not too wet it dries very fast The loss due drying is about max 10 15 only Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2769","1399167707","Hungary",
"9-a7a3d70c6d17a73140918996d03c014f","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2770","BruceWillix","200.00000000","25g SPEED NORMAL DRY a little bit wet","SPEED NORMAL DRY Amphetamine Very good SPEED for very good price Not too wet it dries very fast The loss due drying is about max 10 15 only Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2770","1399167707","Hungary",
"9-6244b2ba957c48bc64582cf2bcec3d04","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2776","BruceWillix","12.00000000","1g CHOCOLATE FONDUE Specific Outdoor Weed Top Quality","CHOCOLATE FONDUE Specific Outdoor WEED Sativa Indica Name CHOCOLATE FONDUE Grade A TOP QUALITY Genetics Chocolope and Exodus Cheese THC Content High 21 Very clean tasty potent high quality weed No big leaves and crap only fine selected buds full of sticky resin crystals The smell and taste is sweet and spicey the effect is powerful and stoney Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2776","1399225046","Hungary",
"9-ec0bfd000f253eff3acb1043e1c06979","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2790","BruceWillix","30.00000000","TRAMADOL 50 mg 20 capsules","Tramadol HCL capsules 50 mg Strong opioid painkiller and narcotic like pain reliever Strong opioids sometimes called opiates are medicines used to treat severe pain Tramadol is a type of strong opioid It works on your nervous system and brain to reduce the way you feel pain Pharmaticeutical quality EUROPEAN PRODUCT Store in a cool dry place away from direct heat and light Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2790","1399918211","Hungary",
"9-b19aa25ff58940d974234b48391b9549","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2789","BruceWillix","55.00000000","TRAMADOL 50 mg 40 capsules","Tramadol HCL capsules 50 mg Strong opioid painkiller and narcotic like pain reliever Strong opioids sometimes called opiates are medicines used to treat severe pain Tramadol is a type of strong opioid It works on your nervous system and brain to reduce the way you feel pain Pharmaticeutical quality EUROPEAN PRODUCT Store in a cool dry place away from direct heat and light Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2789","1399918211","Hungary",
"9-d210cf373cf002a04ec72ee395f66306","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2788","BruceWillix","100.00000000","TRAMADOL 50 mg 80 capsules","Tramadol HCL capsules 50 mg Strong opioid painkiller and narcotic like pain reliever Strong opioids sometimes called opiates are medicines used to treat severe pain Tramadol is a type of strong opioid It works on your nervous system and brain to reduce the way you feel pain Pharmaticeutical quality EUROPEAN PRODUCT Store in a cool dry place away from direct heat and light Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2788","1399918210","Hungary",
"9-fb3f76858cb38e5b7fd113e0bc1c0721","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2786","butyrfent","80.00000000","Butyrfentanyl nasal spray","N 1 2 phenylethyl 4 piperidinyl N phenylbutyramide delivered in a spray bottle like nasal spray bottle and diluted with a sterile water solution for safe handling as dry powder can cause dust clouds that could prove VERY dangerous upon accedental inhalation each spray is 0 25mg and each bottle gives 95 110 sprays","http://n6tzonxy7sod7eqt.onion/image?item=2786","1399831751","Sweden",
"9-e27a949795bbe863f31c3b79a2686770","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2796","dealer007","70.00000000","0 5 afghan white heroine purity 90 sample","sample 0 5gr white pure heroine hello to all this is the highest quality white heroin purity about 90 ittimo to smoke it and inject it during the order indicate if you want to powder in capsule opened or closed We are a group in this business for 7 years and we do our job in the best","http://n6tzonxy7sod7eqt.onion/image?item=2796","1400619684","Italy",
"9-a7f592cef8b130a6967a90617db5681b","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2795","dealer007","1000.00000000","best 7gr high quality afghan white heroine 90 purity","hello to all this is the highest quality white heroin purity about 90 ittimo to smoke it and inject it during the order indicate if you want to powder in capsule opened or closed We are a group in this business for 7 years and we do our job in the best if you want proof we give you 0 5 Arrange them in our catalog","http://n6tzonxy7sod7eqt.onion/image?item=2795","1400619684","Italy",
"9-3812f9a59b634c2a9c574610eaba5bed","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2842","DRice2020","9.50000000","1g Mid Grade Northern Lights Cannabis Bud","Listing for 1g Mid Grade Northern Lights Cannabis Bud Low smelling strain","http://n6tzonxy7sod7eqt.onion/image?item=2842","1401657211","United Kingdom",
"9-bf2fb7d1825a1df3ca308ad0bf48591e","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2843","DRice2020","42.50000000","5g Mid Grade Northern Lights Cannabis Bud","Listing is for 5g Mid Grade Northern Lights Cannabis Bud Low smelling strain","http://n6tzonxy7sod7eqt.onion/image?item=2843","1401657211","United Kingdom",
"9-6f1d0705c91c2145201df18a1a0c7345","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2844","DRice2020","80.00000000","10g Mid Grade Northern Lights Cannabis Bud","Listing is for 10g Mid Grade Northern Lights Cannabis Bud Low smelling strain","http://n6tzonxy7sod7eqt.onion/image?item=2844","1401657211","United Kingdom",
"9-a78482ce76496fcf49085f2190e675b4","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2840","ketaway","177.00000000","ketamine 1oz of s isomer 99 pure","Pure ketamine s isomer which I can send to any country with 100 confidence you will recieve the product","http://n6tzonxy7sod7eqt.onion/image?item=2840","1401657211","United Kingdom",
"9-d71fa38b648d86602d14ac610f2e6194","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2841","ketaway","500.00000000","ketamine 4oz of s isomer 99 pure","pure s isomer ketamine which I can send world wide and it will 100 be delivered worldwide","http://n6tzonxy7sod7eqt.onion/image?item=2841","1401657211","United Kingdom",
"9-2bc8ae25856bc2a6a1333d1331a3b7a6","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2832","laWnmoWermAn","126.00000000","1 2 ounce of Afghani 1 Ship to USA","Afghani 1 is originally from the northern mountains of Afghanistan It is described as 95 indica but I have to say it seems to me to be more like a sativa It is tall and lanky and has a strong up high She is known for strong and spicy flavor and is ideal for medical use Here are a few links to more about the strain http cannacentral com strains afghani src search http www cannapot com shop cannabis seeds hemcy bv afghani no1 seeds html this is where the seeds are from http en seedfinder eu strain info Afghani Nr1 Sensi Seeds","http://n6tzonxy7sod7eqt.onion/image?item=2832","1401484281","United States",
"9-ade55409d1224074754035a5a937d2e0","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2833","laWnmoWermAn","67.00000000","1 4 ounce of Afghani 1 Ship to USA","Afghani 1 is originally from the northern mountains of Afghanistan It is described as 95 indica but I have to say it seems to me to be more like a sativa It is tall and lanky and has a strong up high She is known for strong and spicy flavor and is ideal for medical use Here are a few links to more about the strain http cannacentral com strains afghani src search http www cannapot com shop cannabis seeds hemcy bv afghani no1 seeds html this is where the seeds are from http en seedfinder eu strain info Afghani Nr1 Sensi Seeds","http://n6tzonxy7sod7eqt.onion/image?item=2833","1401484281","United States",
"9-9752d873fa71c19dc602bf2a0696f9b5","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2834","laWnmoWermAn","34.00000000","1 8 ounce of Afghani 1 Ship to USA","Afghani 1 is originally from the northern mountains of Afghanistan It is described as 95 indica but I have to say it seems to me to be more like a sativa It is tall and lanky and has a strong up high She is known for strong and spicy flavor and is ideal for medical use Here are a few links to more about the strain http cannacentral com strains afghani src search http www cannapot com shop cannabis seeds hemcy bv afghani no1 seeds html this is where the seeds are from http en seedfinder eu strain info Afghani Nr1 Sensi Seeds","http://n6tzonxy7sod7eqt.onion/image?item=2834","1401484281","United States",
"9-6775a0635c302542da2c32aa19d86be0","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2835","laWnmoWermAn","228.00000000","1 ounce of Afghani 1 Ship to USA","Afghani 1 is originally from the northern mountains of Afghanistan It is described as 95 indica but I have to say it seems to me to be more like a sativa It is tall and lanky and has a strong up high She is known for strong and spicy flavor and is ideal for medical use Here are a few links to more about the strain http cannacentral com strains afghani src search http www cannapot com shop cannabis seeds hemcy bv afghani no1 seeds html this is where the seeds are from http en seedfinder eu strain info Afghani Nr1 Sensi Seeds","http://n6tzonxy7sod7eqt.onion/image?item=2835","1401484281","United States",
"9-6e0e24295e8a86282cb559b860416812","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2836","laWnmoWermAn","126.00000000","1 2 ounce of Lemon Kush Ship to USA","Lemon Kush is a cross between Master Kush and Lemon Joy It is Indica dominant and It clearly smells and tastes of Lemon Heavy on the crystals and a strong high this delicious strain is very good for medical users since it has a high level of THC and CBDs You may want to test this at home before going out on it Some say it will cause sleepiness here are a few links to more about Lemon Kush http www medicalmarijuanastrains com lemon kush http www strainbrain com marijuana hybrid lemon kush http cannacentral com strains lemon kush src search http www leafly com hybrid lemon kush","http://n6tzonxy7sod7eqt.onion/image?item=2836","1401484281","United States",
"9-353de26971b93af88da102641069b440","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2837","laWnmoWermAn","67.00000000","1 4 ounce of Lemon Kush Ship to USA","Lemon Kush is a cross between Master Kush and Lemon Joy It is Indica dominant and It clearly smells and tastes of Lemon Heavy on the crystals and a strong high this delicious strain is very good for medical users since it has a high level of THC and CBDs You may want to test this at home before going out on it Some say it will cause sleepiness here are a few links to more about Lemon Kush http www medicalmarijuanastrains com lemon kush http www strainbrain com marijuana hybrid lemon kush http cannacentral com strains lemon kush src search http www leafly com hybrid lemon kush","http://n6tzonxy7sod7eqt.onion/image?item=2837","1401484281","United States",
"9-d0bb8259d8fe3c7df4554dab9d7da3c9","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2838","laWnmoWermAn","34.00000000","1 8 ounce of Lemon Kush Ship to USA","Lemon Kush is a cross between Master Kush and Lemon Joy It is Indica dominant and It clearly smells and tastes of Lemon Heavy on the crystals and a strong high this delicious strain is very good for medical users since it has a high level of THC and CBDs You may want to test this at home before going out on it Some say it will cause sleepiness here are a few links to more about Lemon Kush http www medicalmarijuanastrains com lemon kush http www strainbrain com marijuana hybrid lemon kush http cannacentral com strains lemon kush src search http www leafly com hybrid lemon kush","http://n6tzonxy7sod7eqt.onion/image?item=2838","1401484281","United States",
"9-d3d80b656929a5bc0fa34381bf42fbdd","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2851","LibertyOrHemp","35.00000000","Honeycomb Wax","Wax breaks apart into small chunks Will stick to fingers or with some warmth but otherwise crumbles apart Brown gold in color Made from high quality trim","http://n6tzonxy7sod7eqt.onion/image?item=2851","1401830124","Undeclared",
"9-e833e042f509c996b1b25324d56659fb","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2850","LibertyOrHemp","20.00000000","Hash Oil Applicator","1g of Hash Oil in an Oral Syringe applicator Sticky and a little runny Dark in color Whole plant used fan leaves and trim","http://n6tzonxy7sod7eqt.onion/image?item=2850","1401830124","Undeclared",
"9-12311d05c9aa67765703984239511212","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2826","maxmax","50.00000000","Amazon refund","Hello 1776 members I m here to offer amazon refund service Ive been investigated this method for a long time and been doing it for a while for my friends Know i feel ready to offer this service for this community I have successfully a rate of 100 All my orders have been refunded I know their script pretty well now PRICE 20 of the price including shipping and fees 40 double dip In this service i will offering following Full escrow no need to FE until you get your refund All day contact Will answering all your questions If you are not satisfied i will refund your bitcoins normal refund replacement or double dip There is no good reason why you should trust a newcomer im just here to offering a service that maybe you could be in need with FAQ 1 Can i use my main account Yes you can all my friends have used the main accounts and there is no problem with that 2 How many refunds replacements per account i would say 2 Never tried more than 2 refunds on same cc and billing address So for safeties way i recommend 2 3 Do you need my password to Amazon No i wont need any password to your mail or amazon account All i need is Order number Billing address Full name and email of the account 4 Maximum i can order I recommend under 1k 5 How long will it take to get my refund replacement Usually it goes in 20 30 minutes but it depends if the agent co operate or not But maximum will be a couple of days 6 Whats double dip Double dip is you order a item from amazon then you get a replacement and at least you will get your refund 7 Can i order anything from amazon I recommend to buy something that s dispatched and fulfilled by amazon 8 Can i order from any amazon sites I can only deal with English spoken sites likes co uk and com If there is any more questions feel free to message me","http://n6tzonxy7sod7eqt.onion/image?item=2826","1401224903","Worldwide",
"9-09b69adcd7cbae914c6204984097d2da","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2827","maxmax","18.00000000","Buy bitcoins with paypal and cc for newbies","Guide how to buy bitcoins with hacked paypal or cc noob guide to buy bitcoins","http://n6tzonxy7sod7eqt.onion/image?item=2827","1401224904","Worldwide",
"9-b139aeda1c2914e3b579aafd3ceeb1bd","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2828","maxmax","50.00000000","Paypal transfer service for 50","Paypal transfer service With this new unsatured method that i have maturated from my experience you have more time to cashout your funds THERE WILL BE CHARGEBACK AFTER 1WEEK FROM 5 WEEK I send funds within 12 hours from escrow rare times it takes over 24 hours Transfers aren t made from hacked paypal accounts Transfers aren t made from hacked CCs If the transfer is chargebacked in 2 days i will send you new transfer For transfer a i use one of my old accounts with a good transaction history You pay 50 of the amount you wish to receive I only need your PayPal address Please release escrow after 24 hours of successful deposit received to your PayPal account I m not responsible for wrong address given only if new address was given TIPS Use a good aged verified paypal address with transaction history more than 90 days old 10 transaction If you don t have one check my other listing Don t do more transfers than your account can handle","http://n6tzonxy7sod7eqt.onion/image?item=2828","1401224904","Undeclared",
"9-46b2644cbdf489fac0e2d192212d206d","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2829","maxmax","25.00000000","7 The best carding tutorials and guides on deepweb","Thinking of getting into carding well guys this listing is for you the ultimate collection of guides you should take a look at before getting into carding god knows how much all this information would cost individually This is a listing for all the guides I used in the past few months when getting into carding myself suitable for both noobs and more experienced carders alike plus a few more tuts I havent used for the more advanced carders out there The highlights of this listing aside from the carding guides would be guides to staying anonymous and not getting caught during online and instore carding working cashout guides that either me or my colleagues have used or tested ourselves and carding sites","http://n6tzonxy7sod7eqt.onion/image?item=2829","1401224904","Worldwide",
"9-0738069b244a1c43c83112b735140a16","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2830","maxmax","45.00000000","New Tutorial how to cashout from cc","Hi everyone I have a great method to share with you guys how to get your CC funds into nice and safe BTC This is a method which I kinda stumbled upon more than anything and have been using to change loads of my PP funds into BTC I have not seen anything else similar to it and it is completely original material So what does it do Its a cool little way to change your cc into BTC Its really quite simple and if you have got to the stage of getting some funds in either of these then you will be able to do this no problem Its normally quick and easy This really is a great way to cash out funds SAFELY You can start straight away and start changing money with no effort but I do include advice on doing a few extra bits which will reduce the effective you pay to change your funds and also allow you to change much larger amounts I don t know how long I will sell this for so GET BUYING NOW","http://n6tzonxy7sod7eqt.onion/image?item=2830","1401224904","Worldwide",
"9-e465ae46b07058f4ab5e96b98f101756","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2794","Mitosis2020","25.00000000","5 grams of Golden Teacher Mushrooms","Hydroponicly grown c","http://n6tzonxy7sod7eqt.onion/image?item=2794","1400533231","Undeclared",
"9-564645fbd0332f066cbd9d083ddd077c","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2805","nigger","25.00000000","test","test","http://n6tzonxy7sod7eqt.onion/image?item=2805","1400965517","Armenia",
"9-182e6c2d3d78eef40e5dac7da77a748f","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2817","pharmaguy","68.00000000","Codeine 60mg tabs x 28","I have for sale Codeine 60mg direct from a uk pharmacy this is for a box of 28 i can get larger quantities and other drugs aswell message me if you require anything specific and i will see what i can do All items will be sent in a plane white box this is to ensure theres no trace to the pharmacy i get them from","http://n6tzonxy7sod7eqt.onion/image?item=2817","1401051986","United Kingdom",
"9-f3b7e5d3eb074cde5b76e26bc0fb5776","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2812","pharmaguy","50.00000000","Buprenorphine 2mg x 7 subutex","I have for sale 7 Buprenorphine 2mg these are the generic version of subutex these can easily get snorted and cranked just like subutex i can get larger quantities and other drugs aswell message me if you require anything specific and i will see what i can do All items will be sent in a plane white box this is to ensure theres no trace to the pharmacy i get them from","http://n6tzonxy7sod7eqt.onion/image?item=2812","1401051986","United Kingdom",
